datetime,close,CMPI,IVA,CYTK,VLY,ENZL,UPC,MEIP,PSCD,ESGD,ONB,NH,CNFR,UGRO,ACIU,BCOR,ENTA,FCAL,GP,COG,MYT,CLPT,UPST,NESR,BPYPP,AGCUU,HFFG,CCXI,ALGT,CNP,IJT,PLAY,TBCP,MDLZ,MTBC,FPXI,XLNX,CEVA,BAC,PAVM,AMGN,ARRY,FDIV,ABCB,PFX,NYMT,IRM,CELC
2021-08-26 13:20:00,22.0,,,,13.15,,,,,80.4437,16.67,,,15.46,,,,,,14.925,,,215.10001,,,,,15.63,186.4415,25.435,,36.74,,61.5,,,,,,,0,19.395,,48.94,,4.345,45.9,22.0
2021-08-26 13:01:00,22.09,,,,13.155,,,,,,16.68,,,,,,,,,15.0498,,,215.23,,,,,,,25.38,,,,61.545,,,,,,,1,19.49,,,,4.345,,22.09
2021-08-26 12:59:00,22.085,,,31.56,,,2.42,,,80.47,16.68,,,,,,,,13.26,15.045,,,215.33,11.215,,,,,,25.385,,36.815,,61.56,,,,,,,2,19.495,,,,,45.85,22.085
2021-08-26 12:58:00,21.96,,,31.57,13.16,,,2.695,,,16.69,,,,,,53.85,,,15.05,,,215.53999,11.23,,,,15.68,,25.38,,36.8,,61.56,,,,,,,3,19.515,,48.99,,4.35,45.85,21.96
2021-08-26 12:55:00,21.96,,,31.59,13.145,,,2.695,,80.48,16.675,,,,,,53.91,,,15.015,,,214.6562,,,,,,,25.365,132.3,,,61.55,,,,,,,4,19.475,,,,,45.83,21.96
2021-08-26 12:46:00,21.965,5.83,,31.57,13.165,,,,,,,,,15.48,,,53.68,,,14.97,,,216.215,11.33,,,,15.71,186.28,25.355,,,,61.51,7.98,,,,,,5,19.47,,,,4.345,,21.965
2021-08-26 12:29:00,21.78,,,31.6,,,,,,,16.7,2.25,,,7.14,,,,,14.955,,,216.71001,11.33,,,,15.7,,25.345,,36.87,,61.54,8.02,,,,,,6,19.5,,,,4.355,45.89,21.78
2021-08-26 12:24:00,21.9,,,31.55,13.175,,,2.695,,,16.695,,,,7.1,16.29,,,,14.955,,,216.38,11.33,,,,15.641,,25.38,,36.84,,61.605,,,,,,,7,19.485,,,,,,21.9
2021-08-26 12:15:00,21.9,5.8196,,31.55,13.165,,,,,80.515,16.695,,,15.3,,,,,,14.96,,,217.09,11.33,,,,15.72,,25.405,,36.85,,61.67,,,,,,,8,19.52,,49.0,,,45.9199,21.9
2021-08-26 12:10:00,22.22,,,,13.16,,,,,80.505,,,,,,,53.68,,,14.95,,,216.95,11.335,,,,15.75,185.64999,25.405,,,,61.71,,,,,,,9,19.53,50.29,,,4.355,,22.22
2021-08-26 12:05:00,22.22,,,31.63,13.165,,2.4504,,,,16.7,,,15.42,,16.27,,,13.29,14.975,,,217.785,11.35,,,,15.74,,25.4299,,36.86,,61.675,,,,,,,10,19.58,,49.02,,4.3599,45.97,22.22
2021-08-26 12:02:00,22.2,,,31.66,13.18,62.09,,2.705,,80.485,16.715,,3.78,15.2601,,,53.78,,,14.97,,,217.48,11.34,,,,15.73,,25.48,132.47,36.86,,61.7,,,,,,,11,19.6,,,,4.36,45.98,22.2
2021-08-26 12:00:00,22.12,,,31.61,13.185,,,,,,16.715,,3.779,,,,,,,14.93,,,217.02499,,,,,15.72,,25.475,132.405,36.84,,61.68,,,,,,,12,19.54,,,,4.353,45.963,22.12
2021-08-26 11:59:00,21.99,,,31.6,13.18,,,2.695,,80.445,16.71,,,15.48,7.09,,53.62,,,14.925,,,217.00999,11.33,,,,15.6903,185.63,25.455,,,,61.695,,,,,,,13,19.53,,,,4.35,45.93,21.99
2021-08-26 11:46:00,21.76,,,31.61,13.21,62.06,,,,,16.745,,,,,,,,,14.92,,17.6399,217.0,11.38,,,,15.61,187.05,25.47,,36.89,,61.65,,,,,,,14,19.45,,49.15,,4.355,45.88,21.76
2021-08-26 11:34:00,21.74,5.6,,31.57,13.215,,,2.7,,80.415,16.745,2.24,,,6.9801,,53.52,,,14.82,,,216.19,11.315,,,,15.57,,25.495,,36.8053,,61.6,,,,,,,15,19.53,,,,4.355,45.915,21.74
2021-08-26 11:17:00,21.8,,,31.51,13.18,,,,,80.405,16.73,,3.66,15.8,7.02,,,,,14.79,,,214.265,,,,,,186.39999,25.525,132.3703,36.74,,61.67,,,,,,,16,19.66,,49.0,,,45.88,21.8
2021-08-26 11:15:00,22.06,,,31.47,,,2.4105,,,,16.745,2.239,,15.75,,,53.73,,13.21,14.785,,17.41,213.935,,,,,15.51,,25.53,,36.72,,61.71,7.99,,,,,,17,19.69,,48.99,,4.345,45.8994,22.06
2021-08-26 10:57:00,22.3,,,31.36,13.155,,2.42,2.71,,80.3,16.72,,3.67,16.272,,16.32,53.91,,,14.79,,,213.64999,11.31,,,,15.36,,25.525,,36.6,,61.51,,,,,,,18,19.59,,48.975,,4.35,45.71,22.3
2021-08-26 10:56:00,22.2,,,31.4,13.17,,,2.715,,80.29,16.73,,,16.3062,,16.355,53.86,,13.23,,,17.44,213.87,11.305,,,,15.31,,25.54,,36.68,,61.515,,,,,,,19,19.57,,,,4.35,,22.2
2021-08-26 10:55:00,22.2,,,31.42,13.165,,,2.715,,,,,,16.28,,,,,,14.81,,17.45,213.565,11.3,,,,15.27,187.44,25.535,,36.63,,61.49,7.955,,,,,,20,19.5617,,,,4.345,45.67,22.2
2021-08-26 10:54:00,22.2,,,31.37,,,,,,,16.715,,,16.13,6.94,,53.84,,,14.81,,17.45,213.4964,11.3,,,,15.22,,25.53,,36.6001,,61.48,8.02,,,,,,21,19.54,,,,4.35,,22.2
2021-08-26 10:53:00,22.2,5.83,,,13.17,,,,,,16.72,,,16.31,,16.35,53.915,,13.2375,14.8,,,212.99989,11.3,,,,15.21,187.49001,25.535,,36.74,,61.525,,,,,,,22,19.535,,,,4.35,45.685,22.2
2021-08-26 10:52:00,22.2,5.75,,31.37,13.175,,,2.715,,80.285,16.725,2.23,,16.35,,16.33,53.87,,,14.82,,,212.97,11.29,,,,15.2525,,25.555,,36.66,,61.522,,,,,,,23,19.5,50.1017,,,,45.72,22.2
2021-08-26 10:44:00,22.2,,,31.49,13.205,,2.4163,,,,16.77,,3.68,16.0,,,,,13.18,14.9,,,212.2579,11.3,,,,15.29,187.03999,25.595,132.2883,36.81,,61.485,,,,,,,24,19.36,,,,,45.83,22.2
2021-08-26 10:38:00,22.4293,,,31.425,13.235,,,2.745,,,16.79,,,15.82,,,53.855,,,14.94,,,214.36,11.295,,,,15.35,188.19,25.595,,37.25,,61.49,,,,,,,25,19.405,,49.32,,,,22.4293
2021-08-26 10:37:00,22.61,,,31.285,13.24,,,2.75,,,16.78,,,15.8093,,,53.77,,,14.93,,17.6,214.705,11.295,,,,15.37,,25.58,,37.27,,61.41,,,,,,,26,19.425,,,,4.39,45.865,22.61
2021-08-26 10:21:00,22.59,,,,13.29,,2.43,2.765,,80.48,,,3.84,15.9331,,,,,,14.96,,,217.08,,,,,15.6,,25.58,,37.5,,61.47,,,,,,,27,19.735,,,,4.4,45.9099,22.59
2021-08-26 10:19:00,22.59,,,,13.28,,,,,,16.845,2.23,,15.9707,,,,,,14.94,,,217.0,,,,,15.635,,25.545,,37.53,,61.475,,,,,,,28,19.72,,,,4.395,45.8801,22.59
2021-08-26 10:18:00,22.59,,,31.8,13.27,,,,,,16.84,,3.75,15.96,,,,,,14.935,,,217.25,11.28,,,,15.64,,25.56,,37.55,,61.4524,,,,,,,29,19.75,,49.63,,4.395,45.91,22.59
2021-08-26 10:17:00,22.59,5.47,,31.96,,,,,,,16.85,2.25,3.84,15.91,,,,,,14.95,,17.87,216.155,11.28,,,,15.64,,25.56,,37.69,,61.47,,,,,,,30,19.75,,,,4.395,45.95,22.59
2021-08-26 10:13:00,22.75,5.38,,31.96,,,,,,80.52,,,3.6746,15.9319,,,,,13.1366,14.96,,18.1,216.3,11.285,,,,15.621,,25.58,,37.45,,61.465,,,,,,,31,19.8,,,,4.395,45.955,22.75
2021-08-26 10:12:00,22.75,5.35,,32.0,13.25,,,,,80.51,16.82,,,16.035,6.98,,,,13.12,14.95,,18.105,216.61,,,,,15.61,,25.56,133.2036,37.4699,,61.4551,8.11,,,,,,32,19.78,,,,4.395,45.955,22.75
2021-08-26 10:11:00,22.75,,,,13.245,,,,,80.5,16.825,,3.674,16.0599,,,,,13.1484,14.96,,,217.45,11.27,,,,,190.0,25.54,,37.37,,61.455,,,,,,,33,19.806,,,,4.395,45.94,22.75
2021-08-26 10:10:00,22.75,,,31.775,13.245,,,,,80.47,,,,,,,,,,14.95,,,218.03999,,,,,15.62,,25.525,,37.38,,61.4386,8.08,,,,,,34,19.73,,,,,45.845,22.75
2021-08-26 09:50:00,22.61,,,31.88,13.255,,2.44,2.74,,,16.81,2.195,3.78,,,16.41,53.49,,,14.9657,,17.66,214.64,,,,,15.49,,25.61,,37.06,,61.605,,,,,,,35,19.34,,,,4.39,,22.61
