,0
0,A
1,AA
2,AAA
3,AAAU
4,AAC.U
5,AACG
6,AACIU
7,AADR
8,AAIC
9,AAIC-B
10,AAIC-C
11,AAIN
12,AAL
13,AAMC
14,AAME
15,AAN
16,AAOI
17,AAON
18,AAP
19,AAPL
20,AAQC.U
21,AAT
22,AATC
23,AAU
24,AAWW
25,AAXJ
26,AB
27,ABB
28,ABBV
29,ABC
30,ABCB
31,ABCL
32,ABCM
33,ABEO
34,ABEQ
35,ABEV
36,ABGI
37,ABILF
38,ABIO
39,ABM
40,ABMD
41,ABOS
42,ABR
43,ABR-D
44,ABR-E
45,ABSI
46,ABST
47,ABT
48,ABTX
49,ABUS
50,ABVC
51,AC
52,ACA
53,ACAD
54,ACAH
55,ACAHU
56,ACB
57,ACBA
58,ACBI
59,ACC
60,ACCD
61,ACCO
62,ACEL
63,ACER
64,ACES
65,ACET
66,ACEV
67,ACEVU
68,ACGL
69,ACGLN
70,ACGLO
71,ACH
72,ACHC
73,ACHL
74,ACHV
75,ACI
76,ACIC
77,ACIC.U
78,ACII
79,ACII.U
80,ACIO
81,ACIU
82,ACIW
83,ACKIT
84,ACKIU
85,ACLS
86,ACMR
87,ACMSY
88,ACN
89,ACNB
90,ACOR
91,ACP
92,ACP-A
93,ACQR
94,ACQRU
95,ACR
96,ACR-C
97,ACR-D
98,ACRE
99,ACRO.U
100,ACRS
101,ACRX
102,ACSI
103,ACST
104,ACTD
105,ACTDU
106,ACTG
107,ACTV
108,ACV
109,ACVA
110,ACWF
111,ACWI
112,ACWV
113,ACWX
114,ACXP
115,ACY
116,ADAG
117,ADBE
118,ADCT
119,ADER
120,ADERU
121,ADES
122,ADEX
123,ADEX.U
124,ADF
125,ADF.U
126,ADGI
127,ADI
128,ADIL
129,ADIV
130,ADM
131,ADMA
132,ADME
133,ADMP
134,ADMS
135,ADN
136,ADNT
137,ADOC
138,ADOCR
139,ADOM
140,ADP
141,ADPT
142,ADRA.U
143,ADRE
144,ADS
145,ADSK
146,ADT
147,ADTN
148,ADTX
149,ADV
150,ADVM
151,ADX
152,ADZCF
153,AE
154,AEAC
155,AEACU
156,AEB
157,AEE
158,AEFC
159,AEG
160,AEHR
161,AEIS
162,AEL-A
163,AEL-B
164,AEMB
165,AEMD
166,AENZ
167,AEO
168,AEP
169,AEPPL
170,AEPPZ
171,AESR
172,AEVA
173,AEY
174,AEYE
175,AEZS
176,AFAQ
177,AFAQU
178,AFB
179,AFBI
180,AFCG
181,AFG
182,AFGB
183,AFGC
184,AFGE
185,AFHBL
186,AFHIF
187,AFI
188,AFIB
189,AFINO
190,AFL
191,AFLG
192,AFMC
193,AFMD
194,AFT
195,AG
196,AGAC
197,AGAC.U
198,AGBA
199,AGBAU
200,AGC
201,AGCB
202,AGCO
203,AGCUU
204,AGD
205,AGE
206,AGEN
207,AGGR
208,AGGRU
209,AGGY
210,AGI
211,AGIL
212,AGIO
213,AGL
214,AGLE
215,AGM-C
216,AGM-D
217,AGM-E
218,AGM-F
219,AGM-G
220,AGM.A
221,AGNC
222,AGNCN
223,AGNG
224,AGO
225,AGO-E
226,AGO-F
227,AGOV
228,AGOX
229,AGQ
230,AGRO
231,AGT
232,AGTC
233,AGTI
234,AGX
235,AGYS
236,AGZ
237,AGZD
238,AHAC
239,AHCO
240,AHH
241,AHH-A
242,AHL-C
243,AHL-D
244,AHL-E
