date,SONO,SHLS,CD,JD,BILI,PLTR,HAE,OSCR,DQ,EXAS,FLR,M,DOYU,TTNDY,SFTBY,OLK,TRQ,QDEL,VIAC,AMC,AFRM,RLX,NGLOY,ACH,PSFE,PBR,ENB,CSCO,AMWL,SIRI,ITUB,CRWOF,WIX,FCX,BBD,EDU,INTC,INSM,OXY,JPM,TME,HBM,KGC,TDOC,CHWY,CMCSA,ZNGA,PFE,CLOV,VALE,SWN,UBER,T,TRUMY
2021-05-12 20:00:00,36.1,,,71.44,93.0,0,0,,72.55,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,,,,,39.64,0,0,0,0,0,0
2021-05-12 19:55:00,36.35,,,71.38,92.94,0,0,,,,,16.4501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35,,,,,39.63,0,0,0,0,0,0
2021-05-12 19:50:00,35.96,,,,93.1,0,0,,,,,16.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34,,,56.78,9.91,39.64,0,0,0,0,0,0
2021-05-12 19:45:00,35.95,,,,93.1,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,9.92,39.64,0,0,0,0,0,0
2021-05-12 19:40:00,35.96,,,,,0,0,,72.55,,,16.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,39.64,0,0,0,0,0,0
2021-05-12 19:35:00,36.06,,,71.5,93.39,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,139.89,,,,,0,0,0,0,0,0
2021-05-12 19:30:00,35.95,,,71.51,,0,0,,72.35,,22.55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34,,,,,39.6,0,0,0,0,0,0
2021-05-12 19:25:00,36.08,,,71.39,,0,0,,72.21,,,16.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,9.93,39.6,0,0,0,0,0,0
2021-05-12 19:20:00,36.0,,,,93.1,0,0,,71.88,,22.8,16.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,139.7,67.8,,,39.63,0,0,0,0,0,0
2021-05-12 19:15:00,35.99,,,71.28,,0,0,,,,,16.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,39.61,0,0,0,0,0,0
