,0
0,AED/ARS
1,AED/AUD
2,AED/BBD
3,AED/BHD
4,AED/BRL
5,AED/CAD
6,AED/CHF
7,AED/CLP
8,AED/CNY
9,AED/CZK
10,AED/DKK
11,AED/EGP
12,AED/EUR
13,AED/GBP
14,AED/HKD
15,AED/HUF
16,AED/IDR
17,AED/ILS
18,AED/INR
19,AED/ISK
20,AED/JMD
21,AED/JOD
22,AED/JPY
23,AED/KES
24,AED/KRW
25,AED/KWD
26,AED/LBP
27,AED/LKR
28,AED/MAD
29,AED/MXN
30,AED/MYR
31,AED/NAD
32,AED/NOK
33,AED/NPR
34,AED/NZD
35,AED/OMR
36,AED/PAB
37,AED/PHP
38,AED/PKR
39,AED/PLN
40,AED/QAR
41,AED/RON
42,AED/RUB
43,AED/SAR
44,AED/SEK
45,AED/SGD
46,AED/THB
47,AED/TRY
48,AED/TWD
49,AED/USD
50,AED/VEF
51,AED/XAF
52,AED/XCD
53,AED/XOF
54,AED/ZAR
55,AFN/USD
56,ARS/AED
57,ARS/AUD
58,ARS/BBD
59,ARS/BHD
60,ARS/BOB
61,ARS/BRL
62,ARS/CAD
63,ARS/CHF
64,ARS/CLP
65,ARS/CNY
66,ARS/COP
67,ARS/CZK
68,ARS/DKK
69,ARS/EGP
70,ARS/EUR
71,ARS/GBP
72,ARS/HKD
73,ARS/HUF
74,ARS/IDR
75,ARS/ILS
76,ARS/INR
77,ARS/ISK
78,ARS/JMD
79,ARS/JOD
80,ARS/JPY
81,ARS/KES
82,ARS/KRW
83,ARS/LBP
84,ARS/LKR
85,ARS/MAD
86,ARS/MXN
87,ARS/MYR
88,ARS/NAD
89,ARS/NOK
90,ARS/NPR
91,ARS/NZD
92,ARS/OMR
93,ARS/PAB
94,ARS/PEN
95,ARS/PHP
96,ARS/PKR
97,ARS/PLN
98,ARS/PYG
99,ARS/QAR
100,ARS/RON
101,ARS/RUB
102,ARS/SAR
103,ARS/SEK
104,ARS/SGD
105,ARS/THB
106,ARS/TRY
107,ARS/TWD
108,ARS/USD
109,ARS/UYU
110,ARS/VEF
111,ARS/XAF
112,ARS/XCD
113,ARS/XOF
114,ARS/ZAR
115,AUD/AED
116,AUD/ARS
117,AUD/BBD
118,AUD/BHD
119,AUD/BRL
120,AUD/BYN
121,AUD/CAD
122,AUD/CHF
123,AUD/CLP
124,AUD/CNY
125,AUD/CZK
126,AUD/DKK
127,AUD/EGP
128,AUD/EUR
129,AUD/FJD
130,AUD/GBP
131,AUD/HKD
132,AUD/HRK
133,AUD/HUF
134,AUD/IDR
