,0
0,AED_ARS
1,AED_AUD
2,AED_BBD
3,AED_BHD
4,AED_BRL
5,AED_CAD
6,AED_CHF
7,AED_CLP
8,AED_CNY
9,AED_CZK
10,AED_DKK
11,AED_EGP
12,AED_EUR
13,AED_GBP
14,AED_HKD
15,AED_HUF
16,AED_IDR
17,AED_ILS
18,AED_INR
19,AED_ISK
20,AED_JMD
21,AED_JOD
22,AED_JPY
23,AED_KES
24,AED_KRW
25,AED_KWD
26,AED_LBP
27,AED_LKR
28,AED_MAD
29,AED_MXN
30,AED_MYR
31,AED_NAD
32,AED_NOK
33,AED_NPR
34,AED_NZD
35,AED_OMR
36,AED_PAB
37,AED_PHP
38,AED_PKR
39,AED_PLN
40,AED_QAR
41,AED_RON
42,AED_RUB
43,AED_SAR
44,AED_SEK
45,AED_SGD
46,AED_THB
47,AED_TRY
48,AED_TWD
49,AED_USD
50,AED_VEF
51,AED_XAF
52,AED_XCD
53,AED_XOF
54,AED_ZAR
55,AFN_USD
56,ARS_AED
57,ARS_AUD
58,ARS_BBD
59,ARS_BHD
60,ARS_BOB
61,ARS_BRL
62,ARS_CAD
63,ARS_CHF
64,ARS_CLP
65,ARS_CNY
66,ARS_COP
67,ARS_CZK
68,ARS_DKK
69,ARS_EGP
70,ARS_EUR
71,ARS_GBP
72,ARS_HKD
73,ARS_HUF
74,ARS_IDR
75,ARS_ILS
76,ARS_INR
77,ARS_ISK
78,ARS_JMD
79,ARS_JOD
80,ARS_JPY
81,ARS_KES
82,ARS_KRW
83,ARS_LBP
84,ARS_LKR
85,ARS_MAD
86,ARS_MXN
87,ARS_MYR
88,ARS_NAD
89,ARS_NOK
90,ARS_NPR
91,ARS_NZD
92,ARS_OMR
93,ARS_PAB
94,ARS_PEN
95,ARS_PHP
96,ARS_PKR
97,ARS_PLN
98,ARS_PYG
99,ARS_QAR
100,ARS_RON
101,ARS_RUB
102,ARS_SAR
103,ARS_SEK
104,ARS_SGD
105,ARS_THB
106,ARS_TRY
107,ARS_TWD
108,ARS_USD
109,ARS_UYU
110,ARS_VEF
111,ARS_XAF
112,ARS_XCD
113,ARS_XOF
114,ARS_ZAR
115,AUD_AED
116,AUD_ARS
117,AUD_BBD
118,AUD_BHD
119,AUD_BRL
120,AUD_BYN
121,AUD_CAD
122,AUD_CHF
123,AUD_CLP
124,AUD_CNY
125,AUD_CZK
126,AUD_DKK
127,AUD_EGP
128,AUD_EUR
129,AUD_FJD
130,AUD_GBP
131,AUD_HKD
132,AUD_HRK
133,AUD_HUF
134,AUD_IDR
