,0
0,AAC/BTC
1,AAC/USD
2,AAVE/BTC
3,AAVE/ETH
4,AAVE/USD
5,ABBC/BTC
6,ABBC/ETH
7,ABBC/USD
8,ABN/USD
9,ABT/BTC
10,ABT/ETH
11,ABT/USD
12,ABY/USD
13,ACAT/BTC
14,ACAT/ETH
15,ACAT/USD
16,ACC/USD
17,ACES/USD
18,ACN/USD
19,ACOIN/BTC
20,ACOIN/USD
21,ACP/USD
22,ACT/BTC
23,ACT/ETH
24,ACT/USD
25,AC/USD
26,ADA/AUD
27,ADA/BNB
28,ADA/BRL
29,ADA/BTC
30,ADA/CAD
31,ADA/CNY
32,ADA/ETH
33,ADA/EUR
34,ADA/HKD
35,ADA/ILS
36,ADA/INR
37,ADA/KRW
38,ADA/MXN
39,ADA/MYR
40,ADA/PLN
41,ADA/RUB
42,ADA/SAR
43,ADA/SEK
44,ADA/THB
45,ADA/TRY
46,ADA/USD
47,ADA/VND
48,ADA/ZAR
49,ADC/BTC
50,ADCN/USD
51,ADC/USD
52,ADS/BTC
53,ADS/LTC
54,ADS/USD
55,ADT/BTC
56,ADT/KRW
57,ADT/USD
58,ADX/BTC
59,ADX/ETH
60,ADX/KRW
61,ADX/USD
62,ADZ/BTC
63,ADZ/USD
64,AE/BTC
65,AE/ETH
66,AE/KRW
67,AEON/BTC
68,AEON/USD
69,AERM/USD
70,AE/USD
71,AGI/BTC
72,AGI/ETH
73,AGI/USD
74,AGRS/USD
75,AGVC/BTC
76,AGVC/USD
77,AIB/USD
78,AIDOC/BTC
79,AIDOC/ETH
80,AIDOC/USD
81,AION/BTC
82,AION/ETH
83,AION/USD
84,AIR/USD
85,AI/USD
86,AIX/BNT
87,AIX/USD
88,AKY/USD
89,ALGO/BTC
90,ALGO/ETH
91,ALGO/TRY
92,ALGO/USD
93,ALIS/USD
94,ALQO/USD
95,ALTCOM/BTC
96,ALTCOM/USD
97,ALTC/USD
98,AMB/BTC
99,AMBER/USD
100,AMB/ETH
101,AMB/USD
102,AMM/BTC
103,AMM/ETH
104,AMMO/USD
105,AMM/USD
106,AMPL/BTC
107,AMPL/ETH
108,AMPL/USD
109,AMP/USD
110,AMS/BTC
111,AMS/USD
112,ANI/USD
113,ANKR/BTC
114,ANKR/KRW
115,ANKR/USD
116,ANT/BTC
117,ANT/ETH
118,ANTI/USD
119,ANT/KRW
120,ANT/USD
121,ANTX/USD
122,AOAR/BTC
123,AOAR/USD
124,APIS/BTC
125,APIS/USD
126,APL/BTC
127,APL/ETH
128,APL/USD
129,APPC/BTC
130,APPC/ETH
131,APPC/USD
132,APX/USD
133,ARB/BTC
134,ARBI/USD
135,ARB/USD
136,ARCO/BTC
137,ARCO/USD
138,ARDR/BTC
139,ARDR/ETH
140,ARDR/KRW
141,ARDR/USD
142,ARG/BTC
143,ARGUS/BTC
144,ARG/USD
145,ARGUS/USD
146,ARI/USD
147,ARK/AUD
148,ARK/BTC
