,Stocks_to_remove
0,RBAC.U
1,LITTU
2,LXFT
3,LXFT
4,SHLD
5,APMIU
6,RBAC.U
7,KNOP
8,DEFN
9,DEFN
10,DWDP
11,DWDP
12,NXTM
13,NXTM
14,KESG
15,NAP_DELISTED
16,NAP_DELISTED
17,CVII
18,KAPR
19,AMNA
20,AMNA
21,DWCR
22,WKME
23,PDAC.U
24,PDAC.U
25,UQM
26,UQM
27,HASI
28,IBMG
29,IBMG
30,DJUL
31,NTC
32,NTC
33,MITA
34,IBCD
35,FICV
36,FICV
37,ACP.RT
38,ACP.RT
39,PUW
40,ASZ
41,AACQU
42,AACQU
43,RAAS
44,IWML
45,RILYT
46,CDC
47,BBRC
48,BBRC
49,OCTZ
50,DAGXF
51,DAGXF
52,TAHO
53,TAHO
54,FICS
55,LCAHU_DELISTED
56,LCAHU_DELISTED
57,SONC_DELISTED
58,SONC_DELISTED
59,OHRP
60,OHRP
61,DCRBU
62,DCRBU
63,GASL
64,GASL
65,DMXF
66,NRAC
67,ZNTE
68,LRET
69,LRET
70,DRR
71,DRR
72,HYGS
73,HYGS
74,HYIN
75,CSWCL
76,SNCRL
77,HTFB
78,TVIZ
79,TVIZ
80,WTIU
81,WTIU
82,PCPC.U
83,PCPC.U
84,APMIU
85,KESG
86,CVII
87,KAPR
88,GIC
89,ATCOL
90,DJUL
91,ASZ
92,RAAS
93,RILYT
94,FICS
95,DMXF
96,NRAC
97,XMTR
98,HYIN
99,SNCRL
100,HTFB
101,APMIU
102,TPL
103,SAIC
104,ARA
105,ORIC
106,MSCI
107,DJUL
108,VINC
109,MTA
110,RILYT
111,WFC-O
112,DNMR
113,DMXF
114,XMTR
115,IXC
116,SPFR
117,IDSA
118,IDSA
119,MRK.WI
120,MRK.WI
121,USB-R
122,USB-R
123,OCTZ
124,IDAT
125,SDEI
126,BCAC
127,WBAL
128,WBAL
129,ITG
130,ITG
131,EVLV
132,EVLV
133,EDTXU
134,AAIC-B
135,AAIC-B
136,MJXL
137,ECCW
138,JPM-G
139,MLQD
140,GPACU
141,ATVCU
142,AHH-A
143,EVGO
144,NTC
145,NTC
146,ALDR
147,CMDT
148,CMDT
149,GHRS
150,AAQC
151,MORL
152,MORL
153,FXS
154,FXS
155,RODI
156,RODI
157,ILG
158,ILG
159,TDVG
160,SSIC
161,TVIXF
162,ADF.U
163,ADF.U
164,CFFN
165,MTAC
166,C-S
167,CVON
168,CVON
169,PSDO
170,PSDO
171,AHPAU_DELISTED
172,AHPAU_DELISTED
173,PXUS
174,MIT.U
175,MIT.U
176,JTPY
177,IGLD
178,FTSV
179,FTSV
180,GNBC
181,GNBC
182,DAWN
183,CAPAU
184,CAPAU
185,AGBAR
186,PICC
187,ALIN-A
188,SDEI
189,BKSB
190,MJXL
191,ECCW
192,JUGGU
193,GPACU
194,EVGO
195,EBACU
196,GHRS
197,AAQC
198,TDVG
199,ADRA
200,MTAC
201,IGLD
202,DAWN
203,AGBAR
204,PICC
205,SOGU
206,DFAU
207,TWNI.U
208,TWNI.U
209,DFAI
210,CLRMU
211,EXPCU
212,EXPCU
213,TOO
214,TOO
215,BAC-O
216,BAC-O
217,TPIV
218,TPIV
219,FRXB
220,SPAQ.U
221,SPAQ.U
222,OSI
223,IBTF
224,HDP
225,HDP
226,DSTX
227,USEQ
228,BIGY
229,RNMC
230,EVLV
231,EVLV
232,59134N203
233,59134N203
234,CTKB
235,FACA.U
236,FACA.U
237,PALT
238,PSTH.U
239,PSTH.U
240,BIP-A
241,BIP-A
242,BLUA
243,ATAQ.U
244,ATAQ.U
245,EQGP
246,EQGP
247,SYUS
248,DRH-A
249,DRH-A
250,GXIIU
251,TDS-U
252,TDS-U
253,FHN-D
254,FHN-D
255,292505104
256,292505104
257,PPEM
258,PPEM
259,ORIA
260,TEUM
261,TSOC
262,PBUG
263,PBUG
264,GFX
265,LRFC
266,VALPQ
267,LFST
268,ZGYHR
269,WPCA
270,VNSE
271,VNSE
272,NBXG
273,VVUSQ
274,VVUSQ
275,PLC
276,PLC
277,ILCG
278,5326esc96
279,5326esc96
280,KNAB
281,KNAB
282,DEENF
283,DEENF
284,ILG
285,ILG
286,LFT-A
287,LFT-A
288,VSPRU
289,VSPRU
290,SCOA
291,OI
292,QULL
293,EGC
294,EGC
295,DFAU
296,DFAI
297,CLRMU
298,FRXB
299,IBTF
300,BIGY
301,STPC
302,CTKB
303,PALT
304,BLUA
305,DFUS
306,LGV
307,GFX
308,LRFC
309,EMBD
310,ZGYHR
311,ATSPT
312,NBXG
313,ILCG
314,SCOA
315,CDZIP
316,DFAU
317,DFAI
318,DBI
319,AGMH
320,CRD.A
321,STPC
322,SIGM
323,CTKB
324,PALT
325,BLUA
326,KLIC
327,DFUS
328,TIVO
329,AHT-H
330,TLTE
331,GFX
332,LRFC
333,VRDN
334,NBXG
335,DIM
336,AKO.A
337,SCOA
338,DFAU
339,DFAI
340,DBI
341,HT-C
342,CTRCQ
343,CTRCQ
344,GRP.U
345,GRP.U
346,MSF
347,MSF
348,SPTK
349,BWBBP
350,ALOT
351,HCI
352,VOSOU
353,F022618
354,F022618
355,INFL
356,ECVT
357,ATCO-G
358,WWOW
359,BKMC
360,CSS
361,AMJL
362,AMJL
363,DRH-A
364,DRH-A
365,WPCB.U
366,SCOA
367,CAVM
368,MMDM
369,MMDM
370,ABCD_DELISTED
371,ABCD_DELISTED
372,PRME
373,PRME
374,ADGI
375,NSP
376,AQNU
377,YDEC
378,AST
379,STRE
380,PDAC.U
381,RILYT
382,KYE
383,KYE
384,DCUD
385,DCUD
386,DMCY
387,SHCR
388,EUFL
389,EUFL
390,DFVS
391,DFVS
392,HDRO
393,CSAN
394,INR
395,INR
396,ECYT
397,ECYT
398,ABOS
399,AVDR
400,SGB
401,SGB
402,AUGZ
403,42968f108
404,VNO-N
405,VNO-N
406,GLDW
407,GLDW
408,TUESQ
409,TUESQ
410,DBUK
411,DBUK
412,ADRD
413,ADRD
414,AEPPZ
415,BECO
416,SPTK
417,BWBBP
418,VOSOU
419,INFL
420,ECVT
421,DFAU
422,XELA
423,TINV
424,CRD.A
425,SPSK
426,BCML
427,CTKB
428,PALT
429,BLUA
430,TOLZ
431,LEO
432,TIVO
433,AHT-H
434,MZZ
435,NVFY
436,LGV
437,GFX
438,SDG
439,LRFC
440,FT
441,SCOA
442,GOLD
443,HFXI
444,ILCG
445,AKO.A
446,USI
447,ADGI
448,AQNU
449,STRE
450,RILYT
451,SHCR
452,HDRO
453,CSAN
454,ABOS
455,AVDR
456,AUGZ
457,AEPPZ
458,HCHC
459,RGP
460,INFL
461,ECVT
462,SHLDQ
463,WORK
464,SY
465,ADGI
466,HEES
467,AQNU
468,AEI
469,RILYT
470,ASA
471,HDRO
472,CSAN
473,ABOS
474,JPM-C
475,XM
476,AEPPZ
477,NGCAU
478,ERGF
479,ERGF
480,BCNA
481,BCNA
482,NYNY
483,NYNY
484,FINMU
485,BFTR
486,DVHL
487,DVHL
488,PRIF-G
489,MSDAU
490,GSAH.U
491,GSAH.U
492,AIZN
493,DTUL
494,CMSSU
495,CMSSU
496,WRAC.U
497,WRAC.U
498,AKP
499,AKP
500,IBHF
501,LVL
502,CLIM.U
503,CLIM.U
504,NUVL
505,RTEC
506,RTEC
507,GRX-ACL
508,TBLTU
509,TBLTU
510,GASX
511,GASX
512,DNBF
513,DNBF
514,LOKB.U
515,LOKB.U
516,GDXX
517,GDXX
518,APMIU
519,CEFL
520,CEFL
521,DAWN
522,QSI
523,FHN-B
524,FHN-B
525,ACLL
526,ACLL
527,FOCT
528,FOXWU
529,ASZ.U
530,NRAC
531,LDHAU
532,HYIN
533,SHQA
534,VOTE
535,LRNZ
536,RNR-G
537,RNR-G
538,ADFI
539,HHYX
540,HHYX
541,MOTV.U
542,MOTV.U
543,SLI
544,MPAC
545,HTPA.U
546,HTPA.U
547,CAS.U
548,CAS.U
549,TFC-R
550,TFC-R
551,ZETA
552,EAOM
553,T017605
554,RBAC.U
555,RBAC.U
556,GDXU
557,AZAA
558,NKX
559,ATCO-D
560,ATCO-D
561,ALIT
562,UGCE
563,FLBL
564,BVAL
565,AGM-F
566,AGM-F
567,LOACU
568,LOACU
569,TINV.U
570,TINV.U
571,BZ
572,TAHO
573,TAHO
574,QQQN
575,DMYD.U
576,DMYD.U
577,JIG
578,TST
579,TST
580,CCH.U
581,CCH.U
582,CMSS
583,CMSS
584,DOGS
585,DOGS
586,CORS.U
587,CORS.U
588,JJT
589,FUD
590,SOAC.U
591,SOAC.U
592,RKLB
593,LEGAU
594,ALTL
595,BRAC_DELISTED
596,BRAC_DELISTED
597,PZI
598,PZI
599,ERESU
600,FCAX
601,ESNG
602,ESNC
603,TDVG
604,FLAC
605,FAIL
606,GAMCU
607,XMX
608,XMX
609,NRAC
610,LDHAU
611,HYIN
612,VOTE
613,IACC
614,ADFI
615,SLI
616,ZETA
617,EAOM
618,GDXU
619,ALIT
620,FLBL
621,BZ
622,QQQN
623,JIG
624,RKLB
625,LEGAU
626,ALTL
627,ERESU
628,FCAX
629,TDVG
630,FLAC
631,FAIL
632,GAMCU
633,MANU
